"ROW_ID","ORDER_ID","ORDER_DATE","SHIP_DATE","CITY","PRODUCT_NAME","SALES","QUANTITY","DISCOUNT","PROFIT","DA","WK","BW","MO","QU","HY","YE"
51,"CA-2015-115742","4/18/2015","4/22/2015","New Albany","Avery 485",75.18,6,0,35.3346,"D076","WK11","","M03","Q01","H01","Y01"
52,"CA-2015-115742","4/18/2015","4/22/2015","New Albany","Longer-Life Soft White Bulbs",6.16,2,0,2.9568,"D076","WK11","","M03","Q01","H01","Y01"
53,"CA-2015-115742","4/18/2015","4/22/2015","New Albany","Global Leather Task Chair, Black",89.99,1,0,17.0981,"D076","WK11","","M03","Q01","H01","Y01"
54,"CA-2016-105816","12/11/2016","12/17/2016","New York City","Advantus Push Pins",15.26,7,0,6.2566,"","","","M11","Q03","H02","Y02"
55,"CA-2016-105816","12/11/2016","12/17/2016","New York City","AT&T CL83451 4-Handset Telephone",1029.95,5,0,298.6855,"","","","M11","Q03","H02","Y02"
56,"CA-2016-111682","6/17/2016","6/18/2016","Troy","Home/Office Personal File Carts",208.56,6,0,52.14,"D498","WK72","BW36","M17","Q03","H02","Y02"
57,"CA-2016-111682","6/17/2016","6/18/2016","Troy","Xerox 232",32.4,5,0,15.552,"D498","WK72","BW36","M17","Q03","H02","Y02"
60,"CA-2016-111682","6/17/2016","6/18/2016","Troy","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,2,0,3.3,"D498","WK72","BW36","M17","Q03","H02","Y02"
61,"CA-2016-111682","6/17/2016","6/18/2016","Troy","Plastic Binding Combs",48.48,4,0.2,16.362,"D498","WK72","BW36","M17","Q03","H02","Y02"
62,"CA-2016-111682","6/17/2016","6/18/2016","Troy","Prang Dustless Chalk Sticks",1.68,1,0,0.84,"D498","WK72","BW36","M17","Q03","H02","Y02"
63,"CA-2015-135545","11/24/2015","11/30/2015","Los Angeles","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,"D298","WK43","BW22","M10","Q01","H01","Y01"
64,"CA-2015-135545","11/24/2015","11/30/2015","Los Angeles","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,"D298","WK43","BW22","M10","Q01","H01","Y01"
65,"CA-2015-135545","11/24/2015","11/30/2015","Los Angeles","Xerox 1943",146.73,3,0,68.9631,"D298","WK43","BW22","M10","Q01","H01","Y01"
66,"CA-2015-135545","11/24/2015","11/30/2015","Los Angeles","Luxo Economy Swing Arm Lamp",79.76,4,0,22.3328,"D298","WK43","BW22","M10","Q01","H01","Y01"
67,"US-2015-164175","4/30/2015","5/5/2015","Chicago","Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,"D089","WK13","","M04","Q01","H01","Y01"
68,"CA-2014-106376","12/5/2014","12/10/2014","Gilbert","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,"","","","","","",""
69,"CA-2014-106376","12/5/2014","12/10/2014","Gilbert","netTALK DUO VoIP Telephone Service",167.968,4,0.2,62.988,"","","","","","",""
70,"CA-2016-119823","6/4/2016","6/6/2016","Springfield","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,"D486","WK70","BW35","M17","Q03","H02","Y02"
71,"CA-2016-106075","9/18/2016","9/23/2016","New York City","Avery Binding System Hidden Tab Executive Style Index Sets",4.616,1,0.2,1.731,"","","","M11","Q03","H02","Y02"
72,"CA-2017-114440","9/14/2017","9/17/2017","Jackson","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,"","","","","","",""
73,"US-2015-134026","4/26/2015","5/2/2015","Memphis","High-Back Leather Manager's Chair",831.936,8,0.2,-114.3912,"D086","WK13","","M04","Q01","H01","Y01"
74,"US-2015-134026","4/26/2015","5/2/2015","Memphis","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,"D086","WK13","","M04","Q01","H01","Y01"
75,"US-2015-134026","4/26/2015","5/2/2015","Memphis","Safco Industrial Wire Shelving System",72.784,1,0.2,-18.196,"D086","WK13","","M04","Q01","H01","Y01"
76,"US-2017-118038","12/9/2017","12/11/2017","Houston","Economy Binders",1.248,3,0.8,-1.9344,"","","","","","",""
77,"US-2017-118038","12/9/2017","12/11/2017","Houston","6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,"","","","","","",""
78,"US-2017-118038","12/9/2017","12/11/2017","Houston","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,"","","","","","",""
79,"US-2014-147606","11/26/2014","12/1/2014","Houston","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,"","","","","","",""
80,"CA-2016-127208","6/12/2016","6/15/2016","Decatur","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,"D495","WK71","BW36","M17","Q03","H02","Y02"
81,"CA-2016-127208","6/12/2016","6/15/2016","Decatur","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0,8.0352,"D495","WK71","BW36","M17","Q03","H02","Y02"
82,"CA-2014-139451","10/12/2014","10/16/2014","San Francisco","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,"","","","","","",""
83,"CA-2014-139451","10/12/2014","10/16/2014","San Francisco","Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,"","","","","","",""
84,"CA-2015-149734","9/3/2015","9/8/2015","Durham","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,7,0.2,62.8075,"D215","WK31","BW16","M08","Q01","H01","Y01"
85,"US-2017-119662","11/13/2017","11/16/2017","Chicago","Safco Industrial Wire Shelving",230.376,3,0.2,-48.9549,"","","","","","",""
86,"CA-2017-140088","5/28/2017","5/30/2017","Columbia","Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156,"","","","","","",""
87,"CA-2017-155558","10/26/2017","11/2/2017","Rochester","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0,6.7966,"","","","","","",""
88,"CA-2017-155558","10/26/2017","11/2/2017","Rochester","Avery 511",6.16,2,0,2.9568,"","","","","","",""
90,"CA-2016-109806","9/17/2016","9/22/2016","Los Angeles","Turquoise Lead Holder with Pocket Clip",20.1,3,0,6.633,"","","","M11","Q03","H02","Y02"
91,"CA-2016-109806","9/17/2016","9/22/2016","Los Angeles","Panasonic Kx-TS550",73.584,2,0.2,8.2782,"","","","M11","Q03","H02","Y02"
92,"CA-2016-109806","9/17/2016","9/22/2016","Los Angeles","Xerox 1995",6.48,1,0,3.1104,"","","","M11","Q03","H02","Y02"
93,"CA-2015-149587","1/31/2015","2/5/2015","Minneapolis","Xerox 1999",12.96,2,0,6.2208,"","","","M01","Q01","H01","Y01"
94,"CA-2015-149587","1/31/2015","2/5/2015","Minneapolis","Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,"","","","M01","Q01","H01","Y01"
95,"CA-2015-149587","1/31/2015","2/5/2015","Minneapolis","Ibico Standard Transparent Covers",32.96,2,0,16.1504,"","","","M01","Q01","H01","Y01"
96,"US-2017-109484","11/6/2017","11/12/2017","Portland","Flexible Leather- Look Classic Collection Ring Binder",5.682,1,0.7,-3.788,"","","","","","",""
97,"CA-2017-161018","11/9/2017","11/11/2017","New York City","9-3/4 Diameter Round Wall Clock",96.53,7,0,40.5426,"","","","","","",""
98,"CA-2017-157833","6/17/2017","6/20/2017","San Francisco","Trimflex Flexible Post Binders",51.312,3,0.2,17.9592,"","","","","","",""
99,"CA-2016-149223","9/6/2016","9/11/2016","Saint Paul","Fellowes Basic Home/Office Series Surge Protectors",77.88,6,0,22.5852,"","","","M11","Q03","H02","Y02"
100,"CA-2016-158568","8/29/2016","9/2/2016","Chicago","Avery Personal Creations Heavyweight Cards",64.624,7,0.2,22.6184,"D574","WK82","BW41","M20","Q03","H02","Y02"
101,"CA-2016-158568","8/29/2016","9/2/2016","Chicago","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.976,3,0.2,-10.7973,"D574","WK82","BW41","M20","Q03","H02","Y02"
102,"CA-2016-158568","8/29/2016","9/2/2016","Chicago","Avery Hidden Tab Dividers for Binding Systems",1.788,3,0.8,-3.0396,"D574","WK82","BW41","M20","Q03","H02","Y02"
103,"CA-2016-129903","12/1/2016","12/4/2016","Rochester","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,0,11.7208,"","","","M11","Q03","H02","Y02"
104,"US-2015-156867","11/13/2015","11/17/2015","Aurora","Logitech K350 2.4Ghz Wireless Keyboard",238.896,6,0.2,-26.8758,"D285","WK41","BW21","M10","Q01","H01","Y01"
105,"US-2015-156867","11/13/2015","11/17/2015","Aurora","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,"D285","WK41","BW21","M10","Q01","H01","Y01"
106,"US-2015-156867","11/13/2015","11/17/2015","Aurora","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,"D285","WK41","BW21","M10","Q01","H01","Y01"
107,"CA-2017-119004","11/23/2017","11/28/2017","Charlotte","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,0.2,17.6016,"","","","","","",""
108,"CA-2017-119004","11/23/2017","11/28/2017","Charlotte","Speck Products Candyshell Flip Case",27.992,1,0.2,2.0994,"","","","","","",""
109,"CA-2017-119004","11/23/2017","11/28/2017","Charlotte","Newell Chalk Holder",3.304,1,0.2,1.0738,"","","","","","",""
110,"CA-2015-129476","10/15/2015","10/20/2015","Orland Park","Logitech Gaming G510s - Keyboard",339.96,5,0.2,67.992,"D257","WK37","BW19","M09","Q01","H01","Y01"
111,"CA-2017-146780","12/25/2017","12/30/2017","New York City","Magnifier Swing Arm Lamp",41.96,2,0,10.9096,"","","","","","",""
112,"CA-2016-128867","11/3/2016","11/10/2016","Urbandale","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,"","","","M11","Q03","H02","Y02"
113,"CA-2016-128867","11/3/2016","11/10/2016","Urbandale","Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476,"","","","M11","Q03","H02","Y02"
114,"CA-2014-115259","8/25/2014","8/27/2014","Columbus","OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,"","","","","","",""
115,"CA-2014-115259","8/25/2014","8/27/2014","Columbus","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,"","","","","","",""
116,"CA-2014-115259","8/25/2014","8/27/2014","Columbus","Xerox 1921",23.976,3,0.2,7.4925,"","","","","","",""
117,"CA-2014-115259","8/25/2014","8/27/2014","Columbus","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,"","","","","","",""
118,"CA-2015-110457","3/2/2015","3/6/2015","Seattle","Hon Racetrack Conference Tables",787.53,3,0,165.3813,"D029","WK05","","M02","Q01","H01","Y01"
119,"US-2015-136476","4/5/2015","4/10/2015","Bristol","GBC DocuBind 300 Electric Binding Machine",157.794,1,0.7,-115.7156,"D064","WK10","","M03","Q01","H01","Y01"
120,"CA-2016-103730","6/12/2016","6/15/2016","Wilmington","Artistic Insta-Plaque",47.04,3,0,18.3456,"D495","WK71","BW36","M17","Q03","H02","Y02"
121,"CA-2016-103730","6/12/2016","6/15/2016","Wilmington","DXL Angle-View Binders with Locking Rings by Samsill",30.84,4,0,13.878,"D495","WK71","BW36","M17","Q03","H02","Y02"
122,"CA-2016-103730","6/12/2016","6/15/2016","Wilmington","Companion Letter/Legal File, Black",226.56,6,0,63.4368,"D495","WK71","BW36","M17","Q03","H02","Y02"
123,"CA-2016-103730","6/12/2016","6/15/2016","Wilmington","Globe Weis Peel & Seel First Class Envelopes",115.02,9,0,51.759,"D495","WK71","BW36","M17","Q03","H02","Y02"
124,"CA-2016-103730","6/12/2016","6/15/2016","Wilmington","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",68.04,7,0,19.7316,"D495","WK71","BW36","M17","Q03","H02","Y02"
125,"US-2014-152030","12/26/2014","12/28/2014","Houston","Global Deluxe High-Back Manager's Chair",600.558,3,0.3,-8.5794,"","","","","","",""
126,"US-2014-134614","9/20/2014","9/25/2014","Bloomington","Bevis 44 x 96 Conference Tables",617.7,6,0.5,-407.682,"","","","","","",""
127,"US-2017-107272","11/5/2017","11/12/2017","Phoenix","Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,"","","","","","",""
128,"US-2017-107272","11/5/2017","11/12/2017","Phoenix","Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,"","","","","","",""
129,"US-2016-125969","11/6/2016","11/10/2016","Los Angeles","Global Task Chair, Black",81.424,2,0.2,-9.1602,"","","","M11","Q03","H02","Y02"
130,"US-2016-125969","11/6/2016","11/10/2016","Los Angeles","Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,3,0,26.2416,"","","","M11","Q03","H02","Y02"
131,"US-2017-164147","2/2/2017","2/5/2017","Columbus","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",59.97,5,0.4,-11.994,"","","","","","",""
132,"US-2017-164147","2/2/2017","2/5/2017","Columbus","Xerox 1916",78.304,2,0.2,29.364,"","","","","","",""
133,"US-2017-164147","2/2/2017","2/5/2017","Columbus","Staples",21.456,9,0.2,6.9732,"","","","","","",""
134,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Xerox 195",20.04,3,0,9.6192,"","","","M11","Q03","H02","Y02"
135,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Xerox 1880",35.44,1,0,16.6568,"","","","M11","Q03","H02","Y02"
136,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456,"","","","M11","Q03","H02","Y02"
137,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Ideal Clamps",4.02,2,0,1.9698,"","","","M11","Q03","H02","Y02"
138,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","GBC Wire Binding Strips",76.176,3,0.2,26.6616,"","","","M11","Q03","H02","Y02"
139,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Fiskars Softgrip Scissors",65.88,6,0,18.4464,"","","","M11","Q03","H02","Y02"
140,"CA-2016-145583","10/13/2016","10/19/2016","Roseville","Longer-Life Soft White Bulbs",43.12,14,0,20.6976,"","","","M11","Q03","H02","Y02"
141,"CA-2016-110366","9/5/2016","9/7/2016","Philadelphia","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,"","","","M11","Q03","H02","Y02"
142,"CA-2017-106180","9/18/2017","9/23/2017","San Francisco","Newell 343",8.82,3,0,2.3814,"","","","","","",""
143,"CA-2017-106180","9/18/2017","9/23/2017","San Francisco","Convenience Packs of Business Envelopes",10.86,3,0,5.1042,"","","","","","",""
144,"CA-2017-106180","9/18/2017","9/23/2017","San Francisco","Xerox 1911",143.7,3,0,68.976,"","","","","","",""
145,"CA-2017-155376","12/22/2017","12/27/2017","Independence","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",839.43,3,0,218.2518,"","","","","","",""
146,"CA-2015-110744","9/7/2015","9/12/2015","Pasadena","Safco Industrial Wire Shelving",671.93,7,0,20.1579,"D219","WK32","BW16","M08","Q01","H01","Y01"
147,"CA-2014-110072","10/22/2014","10/28/2014","Newark","Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,"","","","","","",""
148,"CA-2016-114489","12/5/2016","12/9/2016","Franklin","Plantronics Cordless Phone Headset with In-line Volume - M214C",384.45,11,0,103.8015,"","","","M11","Q03","H02","Y02"
149,"CA-2016-114489","12/5/2016","12/9/2016","Franklin","Anker Astro 15000mAh USB Portable Charger",149.97,3,0,5.9988,"","","","M11","Q03","H02","Y02"
150,"CA-2016-114489","12/5/2016","12/9/2016","Franklin","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552,"","","","M11","Q03","H02","Y02"
151,"CA-2016-114489","12/5/2016","12/9/2016","Franklin","GBC Prestige Therm-A-Bind Covers",171.55,5,0,80.6285,"","","","M11","Q03","H02","Y02"
152,"CA-2016-158834","3/13/2016","3/16/2016","Scottsdale","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection",157.92,5,0.2,17.766,"D404","WK58","BW29","M14","Q03","H02","Y02"
153,"CA-2016-158834","3/13/2016","3/16/2016","Scottsdale","Jabra BIZ 2300 Duo QD Duo Corded Headset",203.184,2,0.2,15.2388,"D404","WK58","BW29","M14","Q03","H02","Y02"
154,"CA-2015-124919","5/31/2015","6/2/2015","San Jose","Southworth 25% Cotton Antique Laid Paper & Envelopes",58.38,7,0,26.271,"D117","WK17","","M05","Q01","H01","Y01"
155,"CA-2015-124919","5/31/2015","6/2/2015","San Jose","Xerox 1883",105.52,4,0,48.5392,"D117","WK17","","M05","Q01","H01","Y01"
156,"CA-2015-124919","5/31/2015","6/2/2015","San Jose","Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288,"D117","WK17","","M05","Q01","H01","Y01"
157,"CA-2015-118948","5/28/2015","6/3/2015","Seattle","Newell 311",6.63,3,0,1.7901,"D118","WK17","","M05","Q01","H01","Y01"
158,"CA-2014-104269","3/1/2014","3/6/2014","Seattle","Global Deluxe High-Back Manager's Chair",457.568,2,0.2,51.4764,"","","","","","",""
159,"CA-2016-114104","11/20/2016","11/24/2016","Edmond","Avery 519",14.62,2,0,6.8714,"","","","M11","Q03","H02","Y02"
160,"CA-2016-114104","11/20/2016","11/24/2016","Edmond","Avaya 5420 Digital phone",944.93,7,0,236.2325,"","","","M11","Q03","H02","Y02"
161,"CA-2016-162733","5/11/2016","5/12/2016","Los Angeles","Xerox 1920",5.98,1,0,2.691,"D461","WK66","BW33","M16","Q03","H02","Y02"
162,"CA-2015-119697","12/28/2015","12/31/2015","Philadelphia","Lenovo 17-Key USB Numeric Keypad",54.384,2,0.2,1.3596,"D329","WK47","BW24","M11","Q01","H01","Y01"
163,"CA-2016-154508","11/16/2016","11/20/2016","Carlsbad","Staple envelope",28.4,5,0,13.348,"","","","M11","Q03","H02","Y02"
164,"CA-2016-113817","11/7/2016","11/11/2016","Seattle","Wilson Jones International Size A4 Ring Binders",27.68,2,0.2,9.688,"","","","M11","Q03","H02","Y02"
165,"CA-2014-139892","9/8/2014","9/12/2014","San Antonio","BIC Brite Liner Highlighters",9.936,3,0.2,2.7324,"","","","","","",""
166,"CA-2014-139892","9/8/2014","9/12/2014","San Antonio","Lexmark MX611dhe Monochrome Laser Printer",8159.952,8,0.4,-1359.992,"","","","","","",""
167,"CA-2014-139892","9/8/2014","9/12/2014","San Antonio","Space Solutions HD Industrial Steel Shelving.",275.928,3,0.2,-58.6347,"","","","","","",""
